name,title,url,description,author,type,status,updated_at
ckanext-datapreview,Local data previewer for CKAN that uses the resource cache instead of the remote data.,https://github.com/rossjones/ckanext-datapreview,,Ross Jones,Extension,,2013-12-23T13:33:47Z
ckanext-datapreview,Data preview for ckan from local resource cache,https://github.com/datagovuk/ckanext-datapreview,,Data.Gov.UK - Cabinet Office,Extension,,2014-03-07T13:10:08Z
ckanext-datapub,,https://github.com/jimmccusker/ckanext-datapub,,Jim McCusker,Extension,,2013-11-05T10:38:45Z
ckanext-datapusherext,Backport of 2.2 datapusher extension.,https://github.com/ckan/ckanext-datapusherext,,CKAN,Extension,,2014-01-31T14:37:28Z
ckanext-datastore,,https://github.com/datagovuk/ckanext-datastore,,Data.Gov.UK - Cabinet Office,Extension,,2014-03-12T17:44:25Z
ckanext-datastorer,Get files from ckan into the webstore.,https://github.com/ckan/ckanext-datastorer,,CKAN,Extension,,2014-01-29T10:04:53Z
ckanext-datatable,An implementation of CKAN's IResourcePreview interface that uses the WET datatables,https://github.com/open-data/ckanext-datatable,,Open Data Initiative - Initiative sur les données ouvertes,Extension,,2013-12-11T06:11:43Z
ckanext-datesearch,,https://github.com/B2FIND/ckanext-datesearch,,B2FIND,Extension,,2014-03-19T14:04:13Z
ckanext-datesearch,A CKAN extension that adds temporal facets (limit dataset search results to between two dates),https://github.com/seanh/ckanext-datesearch,,Sean Hammond,Extension,,2014-02-24T22:48:45Z
ckanext-datitrentinoit,Ckan customizations for OpenData Trentino,https://github.com/opendatatrentino/ckanext-datitrentinoit,,Open Data in Trentino,Extension,,2014-03-25T15:41:56Z
ckanext-dcat,Work in progress: CKAN + DCAT,https://github.com/ckan/ckanext-dcat,,CKAN,Extension,,2014-02-06T10:34:21Z
ckanext-ddi,DDI import tool for CKAN,https://github.com/kata-csc/ckanext-ddi,,Kata team repository,Extension,,2014-04-28T13:31:43Z
ckanext-delineate,A CKAN extension for delineating watershed. It uses EPA web service for delineation.,https://github.com/CI-Water-DASYCIM/ckanext-delineate,,CI-Water-DASYCIM,Extension,,2014-04-04T22:14:54Z
ckanext-deliverance,,https://github.com/okfn/ckanext-deliverance,,Open Knowledge,Extension,,2013-10-06T01:48:39Z
ckanext-demo,ckan demo site extension,https://github.com/okfn/ckanext-demo,,Open Knowledge,Extension,,2014-04-22T09:39:20Z
ckanext-demo-classic,CKAN Demo Extension.,https://github.com/okfn/ckanext-demo-classic,,Open Knowledge,Extension,,2013-10-09T23:15:47Z
ckanext-dev,CKAN extention for development tools.,https://github.com/NaturalHistoryMuseum/ckanext-dev,,Natural History Museum,Extension,,2014-04-07T00:46:26Z
ckanext-dev,,https://github.com/aliceh75/ckanext-dev,,aliceh75,Extension,,2014-04-29T15:22:21Z
ckanext-dga-stats,CKAN's built-in Statistics plugin modified for data.gov.au,https://github.com/datagovau/ckanext-dga-stats,,data.gov.au,Extension,,2014-04-18T16:18:30Z
ckanext-dghk,DGHK CKAN Extension,https://github.com/chungyuen/ckanext-dghk,,chungyuen,Extension,,2014-04-23T01:49:11Z
ckanext-dgu,CKAN extension for data.gov.uk,https://github.com/datagovuk/ckanext-dgu,,Data.Gov.UK - Cabinet Office,Extension,,2014-04-28T19:47:25Z
ckanext-dgu-local,Support for harvesting from Local Authorities,https://github.com/datagovuk/ckanext-dgu-local,,Data.Gov.UK - Cabinet Office,Extension,,2014-03-18T13:23:12Z
ckanext-dgutests,Selenium tests for data.gov.uk,https://github.com/rossjones/ckanext-dgutests,,Ross Jones,Extension,,2013-12-06T09:29:39Z
ckanext-dgutheme,,https://github.com/okfn/ckanext-dgutheme,,Open Knowledge,Extension,,2013-10-09T23:17:07Z
ckanext-dgvat,,https://github.com/datagvat/ckanext-dgvat,,datagvat,Extension,,2014-01-07T11:44:45Z
ckanext-dgvat_harvest,,https://github.com/datagvat/ckanext-dgvat_harvest,,datagvat,Extension,,2014-01-07T11:44:59Z
ckanext-dgvat_por,,https://github.com/datagvat/ckanext-dgvat_por,,datagvat,Extension,,2014-01-07T11:45:15Z
ckanext-dhdata,CKAN extension packaging up customizations for dhdata.org.,https://github.com/jgsmith/ckanext-dhdata,,jgsmith,Extension,,2013-09-04T23:01:05Z
ckanext-diachron,,https://github.com/eccenca/ckanext-diachron,,eccenca,Extension,,2014-05-01T08:58:03Z
ckanext-disqus,Extension that adds the Disqus commenting system to CKAN,https://github.com/ckan/ckanext-disqus,,CKAN,Extension,,2014-01-29T08:54:44Z
ckanext-downloadsdf,,https://github.com/ckan/ckanext-downloadsdf,,CKAN,Extension,,2014-03-04T16:42:24Z
ckanext-drupal,drual integration,https://github.com/okfn/ckanext-drupal,,Open Knowledge,Extension,,2013-12-29T09:51:04Z
ckanext-drupal,This is simple CKAN extension that works with the od_package Drupal module,https://github.com/open-data/ckanext-drupal,,Open Data Initiative - Initiative sur les données ouvertes,Extension,,2013-12-23T18:32:13Z
ckanext-drupal7,Drupal7 authentication for ckan,https://github.com/okfn/ckanext-drupal7,,Open Knowledge,Extension,,2013-12-24T05:23:43Z
ckanext-dsactions,,https://github.com/XVTSolutions/ckanext-dsactions,,XVTSolutions,Extension,,2014-04-30T01:07:46Z
ckanext-ecportal,EC PORTAL,https://github.com/geosolutions-it/ckanext-ecportal,,geosolutions-it,Extension,,2014-04-16T15:46:53Z
ckanext-ecportal,CKAN extension for the European Union Open Data Portal,https://github.com/okfn/ckanext-ecportal,,Open Knowledge,Extension,,2013-11-18T11:30:29Z
ckanext-edo,,https://github.com/okfn/ckanext-edo,,Open Knowledge,Extension,,2013-10-22T09:30:40Z
ckanext-environmentcanada,CKAN 2.0 Extension for importing Environment Canada ISO 19115 NAP files into data.gc.ca,https://github.com/thriuin/ckanext-environmentcanada,,thriuin,Extension,,2013-11-20T19:14:59Z
ckanext-esis,Ckan extension adding additional fields and controls for spectral data,https://github.com/CSTARS/ckanext-esis,,CSTARS,Extension,,2014-04-28T19:06:29Z
ckanext-etalab,CKAN extension for data.gouv.fr site,https://github.com/etalab/ckanext-etalab,,Etalab,Extension,,2014-01-17T14:42:30Z
